date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:15	20236/20236	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:12%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/12-cum-sociis-natoque-penatibus	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/12-cum-sociis-natoque-penatibus.html	(from )
14:56:16	24419/24419	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:13%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/our-history	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/our-history.html	(from )
14:56:16	25690/25690	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:14%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services.html	(from )
14:56:18	37413/37413	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:17%20GMT	http://livedemo00.template-help.com/joomla_43780/	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.html	(from )
14:56:21	20204/20204	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:18%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/13-magnis-dis-parturient-monte	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/13-magnis-dis-parturient-monte.html	(from )
14:56:22	27319/27319	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:17%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/faqs	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/faqs.html	(from )
14:56:22	43087/43087	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:19%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-2	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-2.html	(from )
14:56:23	43122/43122	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:20%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-3	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-3.html	(from )
14:56:26	43082/43082	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:22%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-4	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-4.html	(from )
14:56:26	20336/20336	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:23%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/19-fusce-feugiat-malesuada-odio	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/19-fusce-feugiat-malesuada-odio.html	(from )
14:56:26	24720/24720	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:24%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/testimonials	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/testimonials.html	(from )
14:56:27	26369/26369	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:26%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/staff	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/staff.html	(from )
14:56:28	20441/20441	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:26%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/contacts	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/contacts.html	(from )
14:56:32	20209/20209	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:27%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/21-morbi-nunc-odio-gravida-at-cur	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/21-morbi-nunc-odio-gravida-at-cur.html	(from )
14:56:32	22872/22872	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:28%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about.html	(from )
14:56:32	19812/19812	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:29%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/item/84-fusce-euismod-conseq	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/item/84-fusce-euismod-conseq.html	(from )
14:56:33	19833/19833	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:30%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/item/85-nemo-enim-ipsam-volupta	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/item/85-nemo-enim-ipsam-volupta.html	(from )
14:56:37	19813/19813	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:34%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/item/86-sit-voluptatem-accus	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/item/86-sit-voluptatem-accus.html	(from )
14:56:38	20225/20225	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:34%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/22-duis-ultricies-pharetra	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/22-duis-ultricies-pharetra.html	(from )
14:56:38	20328/20328	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:36%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/11-fusce-suscipit-varius-mi	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/category/11-fusce-suscipit-varius-mi.html	(from )
14:56:38	18608/18608	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:56:35%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/date/2012/6	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services/itemlist/date/2012/6.html	(from )
